Price,Area,Location,No_of_Bedrooms,Resale,MaintenanceStaff,Gymnasium,SwimmingPool,LandscapedGardens,IndoorGames,ClubHouse,24X7Security,PowerBackup,CarParking,Children'splayarea,LiftAvailable,price_per_sqft
30000000,3340.0,JP Nagar Phase 1,4,0,1,1,1,1,1,1,1,1,0,1,1,8982.035928143712
7888000,1045.0,Dasarahalli on Tumkur Road,2,0,0,1,1,1,1,1,1,1,1,1,1,7548.3253588516745
4866000,1179.0,Kannur on Thanisandra Main Road,2,0,0,1,1,1,0,0,1,0,0,1,1,4127.226463104325
8358000,1675.0,Doddanekundi,3,0,0,0,0,0,0,0,0,1,0,0,1,4989.850746268657
6845000,1670.0,Kengeri,3,0,1,1,1,1,1,1,1,1,1,1,1,4098.802395209581
6797000,1220.0,Horamavu,2,0,0,1,1,1,1,1,1,1,1,1,1,5571.311475409836
20000000,2502.0,Thanisandra,4,0,0,1,1,1,0,1,1,1,1,1,1,7993.605115907274
7105000,1438.0,Ramamurthy Nagar,3,0,0,1,0,0,0,0,1,1,1,1,1,4940.8901251738525
8405000,1405.0,Whitefield Hope Farm Junction,3,0,0,1,1,1,0,0,1,1,0,0,0,5982.20640569395
3506000,660.0,Electronic City Phase 1,1,0,1,1,1,1,1,1,1,1,1,1,0,5312.121212121212
7700000,1362.0,Yelahanka,2,0,0,1,1,1,1,1,1,1,1,1,1,5653.45080763583
9369000,1735.0,Anjanapura,3,0,0,1,1,1,1,1,1,1,1,1,1,5400.0
8716000,1575.0,Jalahalli,3,0,0,1,1,1,1,0,1,0,0,1,0,5533.9682539682535
5394000,1120.0,Kasavanahalli,2,0,0,1,1,0,1,1,0,1,1,1,1,4816.071428571428
6367000,1415.0,Whitefield Hope Farm Junction,3,0,0,1,1,1,0,0,0,1,0,1,1,4499.6466431095405
5080000,1270.0,Bommasandra,2,0,0,1,1,1,1,0,1,1,1,0,1,4000.0
7209999,1311.0,Bellandur,3,0,0,1,1,1,1,1,1,1,1,1,1,5499.6178489702515
5700000,1210.0,RR Nagar,2,0,0,1,1,1,0,1,0,1,1,1,1,4710.743801652892
30000000,3340.0,JP Nagar Phase 1,4,0,1,1,1,1,1,1,1,1,0,1,1,8982.035928143712
7888000,1045.0,Dasarahalli on Tumkur Road,2,0,0,1,1,1,1,1,1,1,1,1,1,7548.3253588516745
4866000,1179.0,Kannur on Thanisandra Main Road,2,0,0,1,1,1,0,0,1,0,0,1,1,4127.226463104325
8358000,1675.0,Doddanekundi,3,0,0,0,0,0,0,0,0,1,0,0,1,4989.850746268657
6845000,1670.0,Kengeri,3,0,1,1,1,1,1,1,1,1,1,1,1,4098.802395209581
6797000,1220.0,Horamavu,2,0,0,1,1,1,1,1,1,1,1,1,1,5571.311475409836
20000000,2502.0,Thanisandra,4,0,0,1,1,1,0,1,1,1,1,1,1,7993.605115907274
7105000,1438.0,Ramamurthy Nagar,3,0,0,1,0,0,0,0,1,1,1,1,1,4940.8901251738525
8405000,1405.0,Whitefield Hope Farm Junction,3,0,0,1,1,1,0,0,1,1,0,0,0,5982.20640569395
3506000,660.0,Electronic City Phase 1,1,0,1,1,1,1,1,1,1,1,1,1,0,5312.121212121212
7700000,1362.0,Yelahanka,2,0,0,1,1,1,1,1,1,1,1,1,1,5653.45080763583
9369000,1735.0,Anjanapura,3,0,0,1,1,1,1,1,1,1,1,1,1,5400.0
8716000,1575.0,Jalahalli,3,0,0,1,1,1,1,0,1,0,0,1,0,5533.9682539682535
5394000,1120.0,Kasavanahalli,2,0,0,1,1,0,1,1,0,1,1,1,1,4816.071428571428
6367000,1415.0,Whitefield Hope Farm Junction,3,0,0,1,1,1,0,0,0,1,0,1,1,4499.6466431095405
5080000,1270.0,Bommasandra,2,0,0,1,1,1,1,0,1,1,1,0,1,4000.0
7209999,1311.0,Bellandur,3,0,0,1,1,1,1,1,1,1,1,1,1,5499.6178489702515
5700000,1210.0,RR Nagar,2,0,0,1,1,1,0,1,0,1,1,1,1,4710.743801652892
12400000,1705.0,Whitefield Hope Farm Junction,3,0,0,1,1,1,0,1,1,1,0,1,1,7272.727272727273
4900000,1187.0,Begur,2,0,0,1,1,1,1,1,1,1,0,1,1,4128.053917438921
30000000,3340.0,JP Nagar Phase 1,4,0,1,1,1,1,1,1,1,1,0,1,1,8982.035928143712
7888000,1045.0,Dasarahalli on Tumkur Road,2,0,0,1,1,1,1,1,1,1,1,1,1,7548.3253588516745
4866000,1179.0,Kannur on Thanisandra Main Road,2,0,0,1,1,1,0,0,1,0,0,1,1,4127.226463104325
8358000,1675.0,Doddanekundi,3,0,0,0,0,0,0,0,0,1,0,0,1,4989.850746268657
6845000,1670.0,Kengeri,3,0,1,1,1,1,1,1,1,1,1,1,1,4098.802395209581
6797000,1220.0,Horamavu,2,0,0,1,1,1,1,1,1,1,1,1,1,5571.311475409836
20000000,2502.0,Thanisandra,4,0,0,1,1,1,0,1,1,1,1,1,1,7993.605115907274
7105000,1438.0,Ramamurthy Nagar,3,0,0,1,0,0,0,0,1,1,1,1,1,4940.8901251738525
8405000,1405.0,Whitefield Hope Farm Junction,3,0,0,1,1,1,0,0,1,1,0,0,0,5982.20640569395
3506000,660.0,Electronic City Phase 1,1,0,1,1,1,1,1,1,1,1,1,1,0,5312.121212121212
7700000,1362.0,Yelahanka,2,0,0,1,1,1,1,1,1,1,1,1,1,5653.45080763583
9369000,1735.0,Anjanapura,3,0,0,1,1,1,1,1,1,1,1,1,1,5400.0
8716000,1575.0,Jalahalli,3,0,0,1,1,1,1,0,1,0,0,1,0,5533.9682539682535
5394000,1120.0,Kasavanahalli,2,0,0,1,1,0,1,1,0,1,1,1,1,4816.071428571428
6367000,1415.0,Whitefield Hope Farm Junction,3,0,0,1,1,1,0,0,0,1,0,1,1,4499.6466431095405
5080000,1270.0,Bommasandra,2,0,0,1,1,1,1,0,1,1,1,0,1,4000.0
7209999,1311.0,Bellandur,3,0,0,1,1,1,1,1,1,1,1,1,1,5499.6178489702515
5700000,1210.0,RR Nagar,2,0,0,1,1,1,0,1,0,1,1,1,1,4710.743801652892
12400000,1705.0,Whitefield Hope Farm Junction,3,0,0,1,1,1,0,1,1,1,0,1,1,7272.727272727273
4900000,1187.0,Begur,2,0,0,1,1,1,1,1,1,1,0,1,1,4128.053917438921
5080000,1270.0,Bommasandra,2,0,0,1,1,1,1,0,1,1,1,0,1,4000.0
9630000,2293.0,Kannur on Thanisandra Main Road,3,0,0,1,1,1,1,1,1,1,1,1,1,4199.738334060183
9458000,1726.0,Hosa Road,3,0,0,1,1,1,1,1,1,1,1,1,1,5479.721900347625
23700000,2470.0,Sahakar Nagar,4,0,0,1,1,1,1,1,1,1,1,1,1,9595.141700404858
7363000,1570.0,Kadugodi,3,0,0,1,1,1,1,0,1,1,0,1,0,4689.8089171974525
5489000,1120.0,Jakkur,2,0,0,0,0,0,0,0,0,0,0,0,0,4900.892857142857
4216000,1506.0,Jigani,3,0,0,1,1,1,0,1,1,1,1,1,0,2799.468791500664
4368000,1040.0,Krishnarajapura,2,0,0,0,0,1,0,0,1,1,1,1,1,4200.0
7600000,1150.0,Brookefield,2,0,0,0,0,0,0,0,0,0,0,0,0,6608.695652173913
4545000,1045.0,Horamavu,2,0,0,1,0,0,0,0,1,1,0,1,1,4349.282296650717
23100000,2480.0,Banashankari,3,0,0,1,1,1,1,1,1,1,1,1,1,9314.516129032258
8000000,1160.0,RR Nagar,2,0,0,1,1,1,1,1,1,1,1,1,1,6896.551724137931
4514000,1143.0,RR Nagar,2,0,0,1,1,1,1,1,1,1,1,1,1,3949.2563429571305
5460000,1300.0,RR Nagar,2,1,0,1,1,1,1,1,1,1,1,1,1,4200.0
4414000,966.0,Nelamangala,2,0,0,1,1,0,0,1,0,1,0,1,1,4569.358178053831
8868000,1245.0,Begur,2,0,0,0,0,0,0,0,1,0,0,0,1,7122.891566265061
6133000,1275.0,Ramamurthy Nagar,2,0,0,1,0,0,0,0,1,1,0,0,1,4810.196078431372
3038000,1085.0,Attibele,2,0,0,1,1,0,1,1,1,1,0,1,1,2800.0
7100000,1286.0,Nelamangala,3,1,0,1,1,0,1,1,0,0,0,1,1,5520.99533437014
7506999,1155.0,Banaswadi,2,0,1,1,1,0,0,1,1,0,1,1,0,6499.566233766233
6520000,1304.0,Whitefield Hope Farm Junction,3,0,0,1,1,1,1,1,1,0,1,1,0,5000.0
6389000,1120.0,Kodigehalli,2,0,0,0,0,0,0,0,1,1,1,0,1,5704.464285714285
11700000,2017.0,ITPL,3,0,0,1,1,1,1,1,0,1,1,1,1,5800.694100148736
5600000,1340.0,Uttarahalli Hobli,3,0,0,0,0,0,0,0,0,1,0,1,1,4179.104477611941
4562000,1304.0,Electronic City Phase 1,3,0,0,1,1,0,0,1,0,1,0,1,1,3498.4662576687115
2951000,649.0,Ramamurthy Nagar,1,0,0,0,0,0,0,0,0,1,0,0,1,4546.995377503852
4264000,1108.0,Krishnarajapura,2,0,1,1,1,1,0,1,1,1,1,1,0,3848.375451263538
6698000,1675.0,Krishnarajapura,3,0,0,0,0,0,0,0,0,1,1,0,1,3998.805970149254
8100000,718.0,Chikkagubbi on Hennur Main Road,2,0,0,1,1,1,1,1,1,1,1,1,1,11281.33704735376
4500000,1075.0,Kasavanahalli,2,0,0,1,1,0,1,1,0,1,1,1,1,4186.046511627907
4928000,1120.0,Varthur,2,0,0,0,0,0,0,0,0,0,0,0,1,4400.0
6100000,1350.0,Vidyaranyapura,2,0,0,0,0,0,0,0,0,1,0,0,0,4518.518518518518
6151000,1404.0,Electronic City Phase 2,2,0,0,1,1,1,1,1,1,1,1,1,0,4381.054131054131
5426000,1080.0,Begur,2,0,0,1,1,1,1,0,1,1,0,0,1,5024.074074074074
13000000,1800.0,J. P. Nagar,3,1,0,0,0,0,0,0,0,0,0,0,1,7222.222222222223
4850000,1060.0,K. Chudahalli,2,0,0,1,0,0,0,1,0,1,1,1,1,4575.471698113208
4604000,1540.0,Narayanaghatta,3,0,0,1,1,1,0,0,1,1,1,1,1,2989.6103896103896
3607000,1110.0,Anekal City,3,0,0,1,1,1,0,1,1,1,0,1,1,3249.5495495495497
16500000,1645.0,Sahakar Nagar,3,1,0,1,1,1,1,1,1,1,1,1,1,10030.395136778116
4840000,1345.0,Sarjapur,3,0,0,1,0,1,1,0,1,1,1,1,1,3598.5130111524163
25800000,1866.0,Koramangala,3,0,0,1,1,0,0,1,1,1,1,1,1,13826.36655948553
51000000,3500.0,Hebbal,3,0,0,1,1,0,1,1,1,1,1,1,0,14571.42857142857
4809000,1145.0,Electronic City Phase 1,2,0,0,1,1,1,1,1,1,1,0,1,1,4200.0
5070000,935.0,Budigere Cross,2,0,0,1,1,1,1,1,1,1,1,1,1,5422.459893048128
10500000,1455.0,Bommanahalli,3,0,1,1,1,1,1,1,1,1,1,1,1,7216.494845360825
6850000,1305.0,Uttarahalli Hobli,2,0,0,1,0,0,0,0,0,1,0,1,1,5249.0421455938695
4580000,1145.0,Varthur,2,0,0,0,1,0,0,0,0,0,1,1,1,4000.0
5559000,1635.0,Whitefield Hope Farm Junction,3,0,0,1,1,1,1,1,1,1,0,1,1,3400.0
4723000,1145.0,RR Nagar,2,0,0,1,0,0,0,0,1,1,1,1,1,4124.890829694323
4465000,1175.0,Krishnarajapura,3,0,0,0,0,0,0,0,0,0,0,0,0,3800.0
8954000,1216.0,Varthur,2,0,0,1,1,1,1,1,1,1,1,1,1,7363.486842105263
4000000,1005.0,Electronics City,2,0,0,0,0,0,0,0,0,0,0,0,0,3980.0995024875624
5400000,1200.0,Chikkalasandra,2,1,0,0,0,0,0,0,0,0,0,0,0,4500.0
8784000,1279.0,Kogilu,2,0,0,1,1,1,1,1,1,1,1,1,1,6867.865519937451
7900000,1180.0,Nayandahalli,2,0,0,1,1,1,1,1,1,1,1,1,1,6694.9152542372885
4781000,1310.0,Electronic City Phase 2,3,0,1,1,1,1,1,1,1,1,1,1,1,3649.618320610687
15000000,1776.0,Bilekahalli,3,0,0,1,1,1,1,1,1,1,1,1,1,8445.945945945947
4700000,1125.0,Horamavu,2,0,0,1,0,0,0,0,1,1,1,0,1,4177.777777777777
7767000,1195.0,Muneshwara Nagar,3,0,0,1,1,0,1,1,0,1,0,1,1,6499.581589958159
6487000,1272.0,Thanisandra,2,0,0,1,1,1,0,0,1,1,1,1,1,5099.842767295598
14000000,2170.0,Junnasandra,3,0,0,1,1,1,0,1,1,1,1,1,1,6451.612903225807
8758000,1510.0,RR Nagar,3,0,0,0,0,0,0,0,0,0,0,0,0,5800.0
13100000,1846.0,Narayanapura on Hennur Main Road,3,0,0,1,1,0,0,0,0,0,0,0,0,7096.424702058505
5500000,1170.0,Kothanur,2,0,0,0,0,0,0,0,0,0,0,0,0,4700.854700854701
4900000,1215.0,Kadugodi Industrial Area,2,0,0,0,0,0,0,0,0,0,0,0,0,4032.9218106995886
4545000,1045.0,Horamavu,2,0,0,1,0,0,0,0,1,1,0,1,1,4349.282296650717
8779000,1245.0,Kannur on Thanisandra Main Road,2,0,0,1,1,1,1,1,1,1,1,1,1,7051.40562248996
22000000,1833.0,ITPL,3,0,0,1,1,1,1,1,1,1,1,1,1,12002.182214948172
5329000,969.0,Sarjapur Road Wipro To Railway Crossing,2,0,1,1,1,1,1,1,1,0,1,1,0,5499.484004127967
7500000,1100.0,RMV Extension Stage 2,2,1,0,0,0,0,0,0,0,0,0,0,1,6818.181818181818
3779999,900.0,Kudlu,2,0,0,1,0,0,0,0,1,1,0,1,1,4199.998888888889
8954000,1216.0,Varthur,2,0,0,1,1,1,1,1,1,1,1,1,1,7363.486842105263
9000000,1306.0,Talaghattapura,2,1,0,1,1,0,0,0,0,1,1,0,1,6891.271056661562
25800000,1866.0,Koramangala,3,0,0,1,1,0,0,1,1,1,1,1,1,13826.36655948553
8954000,1216.0,Varthur,2,0,0,1,1,1,1,1,1,1,1,1,1,7363.486842105263
13100000,1846.0,Narayanapura on Hennur Main Road,3,0,0,1,1,0,0,0,0,0,0,0,0,7096.424702058505
8218000,1505.0,Electronic City Phase 2,3,0,0,1,1,1,1,1,1,1,1,1,1,5460.46511627907
8656000,1502.0,Jakkur,3,0,0,1,1,1,1,1,1,1,1,1,1,5762.982689747004
7520000,1675.0,Doddanekundi,3,0,0,0,0,0,0,0,0,1,0,0,1,4489.55223880597
6148000,1083.0,Kumbalgodu,3,0,0,1,1,1,1,1,1,1,1,1,1,5676.823638042474
11000000,1805.0,Begur,3,0,0,1,1,1,1,1,1,1,1,1,1,6094.182825484764
11399999,1880.0,Begur,3,0,0,1,1,1,1,1,1,1,1,1,1,6063.829255319149
13000000,2180.0,Begur,4,0,0,1,1,1,1,1,1,1,1,1,1,5963.302752293578
11299999,1850.0,Begur,3,0,0,1,1,1,1,1,1,1,1,1,1,6108.1075675675675
4900000,1188.0,Kannur on Thanisandra Main Road,2,0,0,1,1,1,0,0,1,0,0,1,1,4124.579124579124
5002000,1215.0,Kannur on Thanisandra Main Road,2,0,0,1,1,1,0,0,1,0,0,1,1,4116.872427983539
5036000,1224.0,Kannur on Thanisandra Main Road,2,0,0,1,1,1,0,0,1,0,0,1,1,4114.3790849673205
6736000,1350.0,Doddanekundi,2,0,0,0,0,0,0,0,0,1,0,0,1,4989.62962962963
8233000,1650.0,Doddanekundi,3,0,0,0,0,0,0,0,0,1,0,0,1,4989.69696969697
6761000,1355.0,Doddanekundi,3,0,0,0,0,0,0,0,0,1,0,0,1,4989.667896678967
6611000,1325.0,Doddanekundi,2,0,0,0,0,0,0,0,0,1,0,0,1,4989.433962264151
6287000,1260.0,Doddanekundi,2,0,0,0,0,0,0,0,0,1,0,0,1,4989.68253968254
6437000,1290.0,Doddanekundi,2,0,0,0,0,0,0,0,0,1,0,0,1,4989.922480620155
6112000,1225.0,Doddanekundi,2,0,0,0,0,0,0,0,0,1,0,0,1,4989.3877551020405
6487000,1300.0,Doddanekundi,2,0,0,0,0,0,0,0,0,1,0,0,1,4990.0
9412000,1247.0,Dasarahalli on Tumkur Road,2,0,0,1,1,1,1,1,1,1,1,1,1,7547.714514835606
10500000,1486.0,Dasarahalli on Tumkur Road,3,0,0,1,1,1,1,1,1,1,1,1,1,7065.9488559892325
10200000,1433.0,Dasarahalli on Tumkur Road,3,0,0,1,1,1,1,1,1,1,1,1,1,7117.934403349616
4722000,1152.0,Kengeri,2,0,1,1,1,1,1,1,1,1,1,1,1,4098.958333333333
4586000,1119.0,Kengeri,2,0,1,1,1,1,1,1,1,1,1,1,1,4098.302055406613
4582000,1118.0,Kengeri,2,0,1,1,1,1,1,1,1,1,1,1,1,4098.389982110913
6787000,1656.0,Kengeri,3,0,1,1,1,1,1,1,1,1,1,1,1,4098.429951690821
9319000,1629.0,Horamavu,3,0,0,1,1,1,1,1,1,1,1,1,1,5720.687538367097
6892000,1237.0,Horamavu,2,0,0,1,1,1,1,1,1,1,1,1,1,5571.544058205335
9277000,1275.0,Bommanahalli,2,0,1,1,1,1,1,1,1,1,1,1,0,7276.078431372549
11600000,1615.0,Bommanahalli,3,0,1,1,1,1,1,1,1,1,1,1,0,7182.66253869969
10900000,1515.0,Bommanahalli,3,0,1,1,1,1,1,1,1,1,1,1,0,7194.7194719471945
10500000,1455.0,Bommanahalli,3,0,1,1,1,1,1,1,1,1,1,1,0,7216.494845360825
9859000,1360.0,Bommanahalli,3,0,1,1,1,1,1,1,1,1,1,1,0,7249.264705882353
6973999,1409.0,Ramamurthy Nagar,3,0,0,1,0,0,0,0,1,1,1,1,1,4949.60894251242
5705000,1139.0,Ramamurthy Nagar,2,0,0,1,0,0,0,0,1,1,1,1,1,5008.779631255487
5772000,1154.0,Ramamurthy Nagar,2,0,0,1,0,0,0,0,1,1,1,1,1,5001.7331022530325
6720999,1353.0,Ramamurthy Nagar,3,0,0,1,0,0,0,0,1,1,1,1,1,4967.4789356984475
6761000,1362.0,Ramamurthy Nagar,3,0,0,1,0,0,0,0,1,1,1,1,1,4964.023494860499
5677000,1133.0,Ramamurthy Nagar,2,0,0,1,0,0,0,0,1,1,1,1,1,5010.591350397176
5384000,1068.0,Ramamurthy Nagar,2,0,0,1,0,0,0,0,1,1,1,1,1,5041.198501872659
9141000,1540.0,Whitefield Hope Farm Junction,3,0,0,1,1,1,0,0,1,1,0,0,0,5935.714285714285
9522000,1610.0,Whitefield Hope Farm Junction,3,0,0,1,1,1,0,0,1,1,0,0,0,5914.285714285715
10000000,1715.0,Whitefield Hope Farm Junction,3,0,0,1,1,1,0,0,1,1,0,0,0,5830.903790087464
7211000,1195.0,Whitefield Hope Farm Junction,2,0,0,1,1,1,0,0,1,1,0,0,0,6034.309623430962
8514000,1425.0,Whitefield Hope Farm Junction,3,0,0,1,1,1,0,0,1,1,0,0,0,5974.736842105263
10300000,1760.0,Whitefield Hope Farm Junction,3,0,0,1,1,1,0,0,1,1,0,0,0,5852.272727272727
7783000,1300.0,Whitefield Hope Farm Junction,2,0,0,1,1,1,0,0,1,1,0,0,0,5986.923076923077
7429000,1235.0,Whitefield Hope Farm Junction,2,0,0,1,1,1,0,0,1,1,0,0,0,6015.384615384615
7809999,1305.0,Whitefield Hope Farm Junction,2,0,0,1,1,1,0,0,1,1,0,0,0,5984.673563218391
3506000,660.0,Electronic City Phase 1,1,0,1,1,1,1,1,1,1,1,1,1,0,5312.121212121212
6250000,1120.0,Electronic City Phase 1,2,0,1,1,1,1,1,1,1,1,1,1,0,5580.357142857143
6250000,1120.0,Electronic City Phase 1,2,0,1,1,1,1,1,1,1,1,1,1,0,5580.357142857143
3797999,715.0,Electronic City Phase 1,1,0,1,1,1,1,1,1,1,1,1,1,0,5311.8867132867135
3797999,715.0,Electronic City Phase 1,1,0,1,1,1,1,1,1,1,1,1,1,0,5311.8867132867135
