Price,Area,Location,No_of_Bedrooms,Resale,MaintenanceStaff,Gymnasium,SwimmingPool,LandscapedGardens,IndoorGames,ClubHouse,24X7Security,PowerBackup,CarParking,Children'splayarea,LiftAvailable,price_per_sqft
2235000,1016.0,Barasat,3,0,0,1,1,1,1,0,1,1,0,1,1,2199.803149606299
3665999,1111.0,Keshtopur,2,0,1,1,0,1,0,0,1,1,0,1,0,3299.7290729072906
3774000,1025.0,Rajarhat,2,0,0,1,0,0,0,0,1,1,0,0,1,3681.951219512195
2524000,935.0,Narendrapur,2,0,0,1,1,1,1,1,1,1,0,1,0,2699.4652406417113
8300000,1956.0,New Town,3,1,0,1,1,1,1,1,1,1,1,1,1,4243.353783231084
3761000,1179.0,Joka,3,0,0,1,0,1,1,0,1,1,1,1,1,3189.991518235793
9727000,1107.0,Tangra,3,0,0,1,1,1,1,1,1,0,1,1,1,8786.811201445347
3372999,1041.0,Sonarpur,3,0,0,1,1,1,1,1,1,1,0,1,0,3240.1527377521616
3990999,1174.0,Sonarpur,3,0,1,1,1,1,1,1,1,1,0,1,0,3399.4880749574104
4629000,1342.0,Madhyamgram,3,0,1,1,1,1,1,0,1,1,1,0,1,3449.3293591654246
13000000,2210.0,Dum Dum,4,0,0,1,1,1,1,1,1,1,1,1,1,5882.35294117647
3611000,973.0,New Town,2,0,0,1,1,1,1,1,0,1,1,1,1,3711.20246659815
3300000,735.0,New Town,2,0,0,0,0,0,0,0,0,1,0,0,1,4489.7959183673465
3475000,1086.0,Chkravarti Para,3,1,0,0,0,0,0,0,0,0,0,0,1,3199.815837937385
3765999,837.0,Tollygunge,2,0,0,1,0,1,1,0,1,1,1,1,1,4499.401433691756
3200000,710.0,Sarsuna,2,1,0,0,0,0,0,0,0,1,0,0,1,4507.042253521126
3850000,770.0,Ultadanga,2,0,0,0,0,0,0,0,1,0,1,0,1,5000.0
17600000,1965.0,Madurdaha Hussainpur,3,0,0,1,1,0,0,1,1,1,1,1,1,8956.74300254453
9639000,1377.0,New Alipore,3,1,1,1,1,0,0,1,1,1,1,1,1,7000.0
45000000,5000.0,Mukundapur,4,1,0,1,1,0,0,1,0,1,0,1,1,9000.0
2235000,1016.0,Barasat,3,0,0,1,1,1,1,0,1,1,0,1,1,2199.803149606299
3665999,1111.0,Keshtopur,2,0,1,1,0,1,0,0,1,1,0,1,0,3299.7290729072906
3774000,1025.0,Rajarhat,2,0,0,1,0,0,0,0,1,1,0,0,1,3681.951219512195
2524000,935.0,Narendrapur,2,0,0,1,1,1,1,1,1,1,0,1,0,2699.4652406417113
8300000,1956.0,New Town,3,1,0,1,1,1,1,1,1,1,1,1,1,4243.353783231084
3761000,1179.0,Joka,3,0,0,1,0,1,1,0,1,1,1,1,1,3189.991518235793
9727000,1107.0,Tangra,3,0,0,1,1,1,1,1,1,0,1,1,1,8786.811201445347
3372999,1041.0,Sonarpur,3,0,0,1,1,1,1,1,1,1,0,1,0,3240.1527377521616
3990999,1174.0,Sonarpur,3,0,1,1,1,1,1,1,1,1,0,1,0,3399.4880749574104
4629000,1342.0,Madhyamgram,3,0,1,1,1,1,1,0,1,1,1,0,1,3449.3293591654246
13000000,2210.0,Dum Dum,4,0,0,1,1,1,1,1,1,1,1,1,1,5882.35294117647
3611000,973.0,New Town,2,0,0,1,1,1,1,1,0,1,1,1,1,3711.20246659815
3300000,735.0,New Town,2,0,0,0,0,0,0,0,0,1,0,0,1,4489.7959183673465
3475000,1086.0,Chkravarti Para,3,1,0,0,0,0,0,0,0,0,0,0,1,3199.815837937385
3765999,837.0,Tollygunge,2,0,0,1,0,1,1,0,1,1,1,1,1,4499.401433691756
3200000,710.0,Sarsuna,2,1,0,0,0,0,0,0,0,1,0,0,1,4507.042253521126
3850000,770.0,Ultadanga,2,0,0,0,0,0,0,0,1,0,1,0,1,5000.0
17600000,1965.0,Madurdaha Hussainpur,3,0,0,1,1,0,0,1,1,1,1,1,1,8956.74300254453
9639000,1377.0,New Alipore,3,1,1,1,1,0,0,1,1,1,1,1,1,7000.0
45000000,5000.0,Mukundapur,4,1,0,1,1,0,0,1,0,1,0,1,1,9000.0
5300000,1010.0,Kutighat,2,1,0,0,0,0,0,0,0,0,0,0,1,5247.524752475248
7500000,1465.0,New Town,3,1,1,1,1,1,1,1,1,1,1,1,1,5119.453924914676
2400000,755.0,New Town,2,0,1,1,1,1,1,1,1,1,1,1,0,3178.8079470198677
3488000,872.0,Dum Dum,2,0,0,0,0,0,0,0,1,1,0,0,1,4000.0
4314000,1113.0,Behala,3,0,1,1,1,1,0,1,1,1,1,1,1,3876.010781671159
2959000,1345.0,Sodepur,3,0,1,0,0,0,0,1,1,1,1,0,1,2200.0
3132000,1305.0,Konnagar,3,0,0,0,0,0,0,0,0,0,1,0,1,2400.0
2852000,920.0,Uttarpara Kotrung,2,0,0,1,0,0,0,0,1,1,0,0,1,3100.0
2600000,800.0,Baguiati,2,0,0,0,0,0,0,0,0,0,0,0,1,3250.0
2362000,852.0,Hooghly Chinsurah,2,0,1,0,0,0,0,0,1,1,1,0,1,2772.300469483568
8500000,1080.0,New Town,2,1,0,1,1,1,1,1,1,1,1,1,1,7870.37037037037
7000000,1530.0,Hussainpur,3,1,0,0,0,0,0,0,0,1,0,0,1,4575.16339869281
9200000,1217.0,Dum Dum Park,1,1,1,1,1,1,1,1,1,1,0,1,1,7559.5727198027935
8000000,1480.0,New Town,3,1,0,0,0,0,0,0,0,0,0,0,0,5405.405405405405
7500000,1900.0,Rajarhat,3,1,0,1,1,1,0,1,1,1,1,1,1,3947.3684210526317
2574000,858.0,Dum Dum,2,0,0,0,0,0,0,0,1,0,1,0,0,3000.0
2187000,875.0,Bhadreswar,2,0,0,0,0,0,0,0,1,0,0,0,1,2499.4285714285716
11000000,1920.0,Dum Dum,3,0,0,1,1,1,1,1,1,1,1,1,1,5729.166666666667
7936000,1310.0,Dum Dum,2,0,0,1,1,1,1,1,1,1,1,1,1,6058.015267175572
7300000,1319.0,New Town,3,1,0,0,0,0,0,0,0,0,0,0,1,5534.4958301743745
2350000,630.0,Garia,2,1,0,0,0,0,0,0,0,0,0,0,0,3730.15873015873
4600000,1080.0,New Town,2,0,1,0,0,1,0,0,1,1,1,0,1,4259.259259259259
5124000,1281.0,south dum dum,3,1,1,0,0,0,0,0,0,0,0,0,1,4000.0
2099000,734.0,Rajarhat,2,0,1,1,1,1,1,1,1,1,1,1,1,2859.6730245231606
2100000,350.0,Santoshpur,1,1,0,0,0,0,0,1,0,1,0,1,0,6000.0
4025000,1150.0,Behala,3,0,0,0,0,0,0,0,0,0,0,0,0,3500.0
7187000,1753.0,Rajarhat,3,0,1,1,1,1,1,1,1,1,1,1,1,4099.828864803195
3399000,1214.0,Uttarpara Kotrung,3,0,0,0,0,0,0,0,0,0,0,0,0,2799.835255354201
7500000,900.0,Rajarhat,3,1,0,1,1,0,0,1,0,1,0,1,1,8333.333333333334
2250000,750.0,Rajarhat,2,1,0,0,0,0,0,0,0,0,0,0,1,3000.0
4100000,750.0,New Town,2,0,0,0,0,0,0,0,0,0,0,0,0,5466.666666666667
